x	y
0.50393 25.62314
-1.42798 25.35347
-0.18174 25.03893
-0.84636 27.47384
-0.06371 26.39439
-1.41130 26.33787
0.79125 26.34030
-0.46717 25.97588
-1.25784 26.75387
-0.56114 28.19515
-1.10093 26.28386
0.22576 25.00046
-0.44175 25.29618
-0.05608 25.62371
-0.96522 25.29202
0.69078 24.88160
2.27663 25.21742
0.93921 26.09701
-0.59865 26.53105
-0.04159 25.25734
-0.57845 26.76181
1.18083 27.40482
1.00819 24.93304
-1.41203 26.46168
1.59561 23.30466
0.17963 27.26197
0.25900 26.11680
-1.45083 28.04238
-0.42826 24.61682
-0.62979 25.20843
-0.42145 25.44263
-0.89068 27.67366
-0.94475 25.97565
-1.43128 27.23198
-0.73367 26.62909
-0.39606 27.00803
0.52987 24.46891
-0.74723 27.02225
0.58844 25.11770
-0.41062 24.41943
1.88603 25.19453
0.83436 25.36291
-1.17962 25.65913
0.26141 25.16084
0.45819 27.33769
0.54293 24.66653
-0.41077 25.33737
-0.27823 24.73950
-0.09230 26.68084
-0.06765 25.45158
-0.47353 25.49258
-0.11693 23.99693
-0.62461 25.09173
-0.73524 25.33398
-0.39977 26.51004
0.11183 26.67970
-1.25872 25.78238
-0.03692 26.66404
0.59585 25.22347
-1.19743 25.29161
0.95424 28.18367
0.33685 26.82264
1.04279 26.02343
-0.75084 25.62188
-0.26113 26.22674
0.27827 25.54225
1.99079 24.01917
0.47250 26.59000
0.67294 26.67619
-1.19487 26.39144
0.78734 24.54817
-0.04800 26.41524
0.28834 26.34140
-1.45837 25.58453
0.47880 26.30431
0.43177 26.84216
0.18380 25.88793
-1.18969 26.60558
1.29196 26.37505
1.84909 26.06658
-0.84198 26.01152
-0.90731 25.85396
1.35343 26.00911
0.56800 25.15140
-2.76581 28.02585
-1.09675 26.20338
0.83330 24.63153
-0.90520 24.98722
0.22773 25.21969
0.06968 27.34610
-0.12931 26.95267
-1.13502 26.11444
1.02418 27.07657
0.97533 27.31445
-0.87551 25.40734
1.58915 24.98976
-0.69859 26.51538
-0.66691 25.86511
-0.45421 26.64051
0.39528 24.93747
1.80853 26.85615
-0.53406 24.05438
0.28450 26.54180
0.37556 26.05590
-0.58278 26.60675
-0.54705 26.81459
-1.05543 26.46385
-1.08954 27.69383
0.57003 26.11214
2.64785 25.06294
-1.11052 25.00640
2.18992 24.95324
-0.18614 25.16610
-0.33953 25.02254
-0.03103 24.19927
-0.12819 26.52502
1.01572 24.82875
-0.16740 26.38400
-0.69919 26.65307
1.22789 26.38320
-0.18646 27.03043
0.52006 27.12985
-2.04456 24.62723
0.06370 26.91637
0.67052 26.84240
-0.85404 24.74227
-0.46418 25.86874
-0.06539 23.86051
