x	y
0.36703 2.37836
-1.89056 4.01601
-0.47883 3.26161
0.80644 2.13766
0.64784 4.06674
-0.67169 2.59773
1.15479 4.70488
1.07118 4.46072
2.37096 1.50129
0.26633 4.62547
1.38956 3.15516
0.33825 2.11899
0.19966 2.11437
1.81552 2.75170
-1.64118 3.55561
0.55006 1.69260
-0.29716 3.14583
2.34268 2.43043
2.32088 3.13603
0.99413 2.64432
0.27480 4.89545
-0.54564 4.21122
0.34036 3.48218
0.06932 2.80334
0.69934 4.04630
0.71460 2.34562
0.21193 3.38071
-0.81242 4.90928
-0.96972 1.89350
-1.26684 3.46264
0.48245 3.20175
-0.32899 3.40890
0.34722 3.79279
-0.00834 3.15017
0.95675 4.37182
1.62245 3.08918
-1.25320 3.56965
0.30528 2.81914
-0.51269 3.02445
1.69949 3.31982
2.06543 2.40870
-1.88370 3.00773
1.78522 3.76934
0.56671 3.71614
0.68450 2.10306
0.60369 2.87503
0.69439 2.03830
-1.77025 3.51673
0.77425 3.01606
-1.02572 3.31760
-0.49571 3.07064
-1.25895 1.69550
-1.50208 1.66953
1.43942 1.91421
0.60604 2.22914
0.05764 3.42399
-0.90878 3.60870
-1.80855 3.74624
-0.35754 5.73913
0.80614 2.42820
-1.31204 5.15842
1.60035 1.62408
0.10455 2.04724
-0.89969 4.08160
1.24604 2.75370
-0.32239 1.98810
-0.30855 1.27153
0.26018 1.57367
-0.60717 1.26126
0.85572 2.89618
0.27527 4.37450
-1.81412 3.49574
-0.56830 2.84272
-0.08459 1.55494
-1.08585 2.18493
0.42941 2.64699
-0.06837 3.93851
0.83191 3.60558
0.57154 1.11135
-0.32165 3.90279
-1.73949 3.70695
-1.55195 3.76967
0.67137 3.69363
0.04431 1.24305
-0.81275 3.10729
0.54731 3.93205
-1.00235 2.67715
0.75470 2.52687
0.95512 3.96707
0.45837 4.05305
0.63228 1.99272
-0.45894 1.66236
-0.69554 2.91574
1.14427 3.25220
-0.50068 2.54820
0.59819 2.84105
-0.50139 2.93517
0.15968 1.39053
0.93401 2.65054
-0.09085 2.08362
1.34529 2.27020
-1.66618 5.13634
0.11353 3.71039
1.49566 1.66743
-0.37956 3.35309
1.15750 3.14090
